event_id,confirmation_axis,trigger_available_at,first_confirmation_known_at,signed_lead_days,confirmation_already_true_at_trigger,status,blocker
ANNOTATION_2016,ETHBTC_persistence,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,BTC_D_rollover,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,breadth_survival,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,deployment_improvement,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,large_cap_rotation,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,broad_alt_expansion,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2016,smallcap_acceleration,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,ETHBTC_persistence,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,BTC_D_rollover,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,breadth_survival,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,deployment_improvement,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,large_cap_rotation,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,broad_alt_expansion,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2020,smallcap_acceleration,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,ETHBTC_persistence,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,BTC_D_rollover,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,breadth_survival,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,deployment_improvement,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,large_cap_rotation,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,broad_alt_expansion,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
ANNOTATION_2026,smallcap_acceleration,,,,,UNKNOWN_NOT_ZERO,ORIGINAL_TRIGGER_AVAILABILITY_AND_MATCHED_OWNER_HISTORY_MISSING
